stday,stmon,styear,dispnum3,hostlev
-9,8,1998,4339,5
24,1,1993,4340,4
5,6,1993,4341,4
8,4,1999,4342,3
24,11,2000,4343,3
15,4,1999,4344,3
6,1,2002,4345,4
23,1,2002,4346,4
25,1,2002,4347,4
27,1,2002,4348,4
19,3,2002,4349,4
1,7,2002,4350,4
7,7,2002,4351,3
11,7,2002,4352,4
25,7,2002,4353,3
26,8,2002,4354,2
2,9,2002,4355,4
4,9,2002,4356,4
30,10,2002,4357,4
2,12,2002,4358,4
12,12,2002,4359,4
24,7,2003,4360,4
4,10,2003,4361,3
1,11,2003,4362,4
1,11,2003,4363,4
26,12,2003,4364,3
21,4,2004,4365,3
24,4,2004,4366,4
29,4,2004,4367,4
3,6,2004,4368,3
14,7,2004,4369,3
30,10,2004,4370,4
6,11,2004,4371,4
2,12,2004,4372,4
4,1,2005,4373,3
18,1,2005,4374,4
17,2,2005,4375,3
13,3,2005,4376,3
23,3,2005,4377,3
26,4,2005,4378,4
17,6,2005,4379,4
18,6,2005,4380,4
29,9,2005,4381,2
18,10,2005,4382,3
25,10,2005,4383,3
5,11,2005,4384,4
24,4,2006,4385,4
28,4,2006,4386,4
18,6,2006,4387,4
17,8,2006,4388,3
16,10,2006,4389,3
18,10,2006,4390,4
10,11,2006,4391,3
28,7,2007,4392,4
10,9,2007,4393,4
26,12,2007,4394,4
28,12,2007,4395,4
12,2,2008,4396,4
2,3,2008,4397,4
18,4,2008,4398,4
9,5,2008,4399,4
11,11,2008,4400,3
5,12,2008,4401,4
27,2,2009,4402,4
15,5,2009,4403,4
20,6,2009,4404,3
3,1,2010,4405,4
28,6,2010,4406,3
29,8,2010,4407,4
29,8,2010,4408,4
22,2,2002,4409,3
2,4,2002,4410,3
23,5,2002,4411,3
21,7,2002,4412,4
6,8,2002,4413,3
9,8,2002,4414,4
11,8,2002,4415,3
3,2,2003,4416,3
26,4,2003,4417,3
27,5,2003,4418,3
-9,7,2003,4419,3
20,9,2003,4420,3
20,3,2004,4421,4
2,4,2004,4422,4
21,10,2004,4423,3
22,3,2005,4424,4
23,3,2005,4425,3
23,3,2005,4426,4
13,5,2005,4427,3
23,5,2005,4428,3
24,10,2005,4429,4
14,12,2005,4430,3
23,5,2006,4431,3
30,6,2006,4432,4
26,9,2006,4433,4
11,10,2006,4434,4
12,5,2007,4435,3
6,8,2007,4436,4
27,12,2007,4437,3
15,4,2008,4438,3
17,4,2008,4439,4
14,7,2008,4440,3
9,4,2009,4441,3
17,1,2010,4442,4
8,6,2010,4443,3
15,4,2002,4444,3
8,5,2002,4445,3
8,6,2002,4446,3
13,6,2002,4447,3
16,7,2002,4448,4
4,9,2002,4449,3
19,9,2002,4450,3
10,12,2002,4451,4
2,1,2003,4452,4
27,1,2003,4453,4
13,2,2003,4454,3
21,2,2003,4455,3
7,3,2003,4456,4
23,6,2003,4457,4
26,6,2003,4458,3
1,7,2003,4459,4
3,7,2003,4460,3
30,7,2003,4461,3
6,8,2003,4462,3
15,9,2003,4463,3
23,9,2003,4464,4
30,4,2004,4465,3
30,9,2004,4466,3
10,11,2004,4467,3
8,3,2005,4468,3
24,5,2005,4469,2
15,6,2005,4470,3
23,8,2005,4471,4
9,9,2005,4472,3
28,10,2005,4473,4
-9,11,2005,4474,4
25,1,2006,4475,3
19,4,2006,4476,3
16,8,2006,4477,4
28,4,2007,4478,3
21,6,2007,4479,2
9,2,2008,4480,3
6,5,2008,4481,3
16,6,2008,4482,3
17,1,2009,4483,4
30,1,2009,4484,4
19,2,2009,4485,4
9,3,2009,4486,3
13,9,2009,4487,3
29,3,2010,4488,4
21,4,2010,4489,3
4,6,2010,4490,4
7,9,2010,4491,4
14,9,2010,4492,3
18,12,2010,4493,3
6,8,2002,4494,4
-9,3,2003,4495,4
15,7,2003,4496,4
22,2,2004,4497,3
1,7,2005,4498,3
5,3,2006,4499,3
11,8,2006,4500,4
-9,3,2007,4501,4
2,3,2008,4502,3
3,3,2008,4503,3
7,3,2009,4504,3
9,8,2009,4505,3
8,1,2010,4506,3
29,7,2010,4507,3
-9,10,2010,4508,3
23,4,2002,4509,3
22,8,2002,4510,3
8,1,2003,4511,4
22,3,2003,4512,4
22,3,2003,4513,3
10,4,2003,4514,4
26,5,2003,4515,4
5,7,2003,4516,4
17,8,2003,4517,4
-9,3,2004,4518,4
14,3,2004,4519,4
16,3,2004,4520,3
3,6,2004,4521,4
11,6,2004,4522,4
15,6,2004,4523,4
19,8,2004,4524,3
23,9,2004,4525,4
17,11,2004,4526,4
22,4,2005,4527,4
26,4,2005,4528,3
31,7,2005,4529,4
17,9,2005,4530,4
2,6,2006,4531,4
28,6,2006,4532,4
19,8,2006,4533,4
8,9,2006,4534,4
11,1,2007,4535,4
20,1,2007,4536,4
30,5,2007,4537,4
28,8,2007,4538,4
6,9,2007,4539,4
26,10,2008,4540,4
5,11,2008,4541,2
28,1,2009,4542,4
25,2,2009,4543,4
17,8,2009,4544,4
11,9,2009,4545,4
17,12,2009,4546,4
12,5,2010,4547,4
30,5,2010,4548,3
-9,3,2004,4549,3
29,5,2005,4550,4
23,7,2005,4551,3
11,1,2002,4552,4
8,2,2002,4553,4
7,3,2002,4554,4
24,7,2002,4555,4
-9,1,2003,4556,3
4,10,2003,4557,4
25,11,2003,4558,4
4,1,2004,4559,4
10,3,2004,4560,4
18,5,2004,4561,4
17,7,2004,4562,4
24,9,2004,4563,4
26,10,2004,4564,4
13,12,2004,4565,3
18,1,2005,4566,4
2,3,2005,4567,3
8,5,2005,4568,4
13,5,2005,4569,3
22,9,2005,4570,3
30,11,2005,4571,4
20,2,2006,4572,4
26,4,2006,4573,4
11,7,2006,4574,3
30,10,2006,4575,4
20,12,2006,4576,4
22,1,2007,4577,4
14,2,2007,4578,4
21,3,2007,4579,4
14,12,2007,4580,3
29,1,2008,4581,4
1,2,2008,4582,4
9,4,2008,4583,4
14,4,2008,4584,4
14,5,2008,4585,4
23,5,2008,4586,3
12,7,2008,4587,4
15,7,2008,4588,4
17,7,2008,4589,4
18,7,2008,4590,4
3,11,2008,4591,3
25,12,2008,4592,3
28,2,2009,4593,4
23,4,2009,4594,4
27,4,2009,4595,4
8,10,2009,4596,3
23,10,2009,4597,3
27,9,2010,4598,4
12,10,2010,4599,4
23,10,1940,3699,2
