Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Austria,AUT,Trade (% of GDP),NE.TRD.GNFS.ZS,46.50975849,44.90723707,45.61809015,46.28469294,46.98558125,48.23931495,48.92554253,48.30854122,49.01388117,52.72525966,54.96962459,54.48864936,54.40397662,54.56502009,59.6858061,56.71168912,60.03459661,60.39580155,59.78622012,63.4426697,66.95664622,68.53176205,64.24454757,62.59596935,66.70714939,70.22264423,64.14208679,62.97889093,66.69494486,70.67863501,71.63071317,70.1875541,67.76430797,63.39091269,66.11781307,68.39204397,70.20658284,74.99296903,77.08780334,78.37926897,85.47378348,87.6386079,86.95994943,86.4920632,90.93434994,94.16200791,98.23025541,100.8188331,102.1250511,86.80704205,98.68308627,104.8239013,105.0202548,103.4561973,102.7419014,102.3799552,
Azerbaijan,AZE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.08321965,86.86377246,140.7999834,133.4207611,55.35265805,69.41089137,85.06335997,82.04624669,77.23357999,69.86122148,77.41945487,78.24097186,92.81745799,107.5613867,121.5033645,115.8334454,105.2656161,96.6446392,89.24289686,74.74404168,74.98598846,80.50804501,79.34845819,75.5937631,69.50920516,72.63877569,
Burundi,BDI,Trade (% of GDP),NE.TRD.GNFS.ZS,25.89285744,27.58620798,29.50819589,21.80451147,26.17449661,22.88225297,23.7683402,22.68636626,23.6625078,21.75328967,22.30979655,22.60743004,26.80941312,24.34890434,25.28733518,27.27741632,30.37936063,34.88702915,31.93409359,36.88478616,32.1014456,31.18104621,37.11942099,33.79333982,35.05631669,31.81352155,34.0388589,35.48353466,38.5439533,32.68930939,35.64813955,38.42256048,38.22613141,36.5429966,38.75352358,40.20462641,21.57372227,24.27537923,27.44002999,23.53974528,22.55372449,20.96404561,21.67382941,27.37631208,31.57611818,41.64680569,54.15179049,41.48231204,47.41791826,49.9258729,48.09569624,47.01920455,46.41898004,41.64117356,41.30700229,40.03696502,
Belgium,BEL,Trade (% of GDP),NE.TRD.GNFS.ZS,76.30136587,78.81847213,81.15764325,84.38258376,85.3268781,83.99006921,88.03574573,84.95429386,89.27256583,96.49128993,87.07561458,84.94887147,84.57853441,93.44604625,104.4955454,90.84992388,96.1030728,94.97614786,91.63635698,100.8315289,102.3064689,109.4174552,117.0636566,119.5092049,127.2861639,122.9630756,111.4943143,109.1053936,115.5596497,124.011646,120.5694134,117.71252,114.2154647,108.2014289,112.388693,115.5111145,118.0604051,124.3666167,123.4841571,123.9970355,141.078994,138.6947492,135.1247887,131.9901499,136.0378426,143.3763215,147.6939466,151.1634316,158.9079437,136.3566249,151.1001065,162.7539527,164.0175301,163.0495957,167.1360213,167.1466291,
Benin,BEN,Trade (% of GDP),NE.TRD.GNFS.ZS,18.23419982,14.11812169,13.47712766,15.44725902,17.38050343,22.17327364,23.04260784,27.43808832,28.41122937,33.20172495,39.63790345,45.61841272,41.18455161,41.61214261,43.8114045,47.94122796,44.01975771,50.95968552,51.07045265,54.53816815,53.1386196,59.8893721,57.85733537,45.34201189,50.51130349,60.30121798,49.2914177,46.21813521,45.88682803,38.30036736,45.72018215,51.34471684,56.7407458,55.38179913,64.40047925,63.80014001,56.51779145,58.71162961,59.5936253,64.67000785,55.99169036,57.27591999,51.48426491,48.72235439,46.37025873,45.81656011,46.85187251,57.8049633,56.49791804,52.70052519,60.99298998,55.57875895,60.36920849,69.07200462,81.23864645,62.76430224,
Burkina Faso,BFA,Trade (% of GDP),NE.TRD.GNFS.ZS,20.70137006,21.21886244,21.23794839,21.24850128,14.31727564,16.02921712,16.70021919,18.85581328,21.49212882,22.34960836,21.59701042,25.44255661,27.68872686,29.23133631,32.79367889,37.49937071,35.21349568,38.40353376,35.21924848,37.52857807,40.21302868,40.71152425,39.81975144,37.45829725,39.71870566,40.94754698,37.96172942,39.43994633,38.12968228,32.39475994,35.42265044,33.79623643,28.37401638,29.62508395,39.22922224,40.74747142,38.18029777,37.41641878,40.93978358,33.68632612,34.5123825,32.3692329,30.87290647,30.73251815,37.12858447,35.53571955,36.77824433,35.42453458,36.31053849,40.42085536,48.86683091,58.15399853,62.67905863,63.45616725,64.79628377,68.70495986,
Bangladesh,BGD,Trade (% of GDP),NE.TRD.GNFS.ZS,19.30394367,22.48235237,21.55484828,21.63976306,24.15026781,23.02931371,22.93610297,21.90186011,19.93714038,19.81132117,20.82059695,17.01907184,19.40728956,18.39465651,14.04962107,10.99562613,22.38227493,19.4221982,21.03851496,21.90706354,23.37723111,19.24715909,20.60692419,20.31688062,16.81172717,18.22218462,17.01874251,16.68779763,17.67806431,18.32517402,18.96650201,18.88982689,19.9340055,23.12158307,22.86586455,28.20949608,26.07608772,26.32551339,27.8800634,28.38794056,29.32171436,32.09801707,28.96738072,27.6578849,26.85823415,34.39693486,38.11192443,39.94238265,42.62091403,40.09279622,37.80284267,47.42084984,48.11092275,46.29640272,44.5140802,42.08599908,
Bulgaria,BGR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,66.39641735,70.1610468,67.49939682,74.08786299,78.37731166,85.99736772,83.50356439,83.40765316,91.46175131,94.57897077,69.84706085,82.68238762,100.0498008,84.04148545,90.72012938,101.8271665,104.3680076,87.39324111,79.15009601,90.95776967,78.32361937,79.35049015,75.46514112,79.2771073,93.28954514,99.87344245,111.2914142,122.6138492,124.2661759,93.12233844,110.1981351,123.6738508,129.6243659,134.5345,131.0940622,131.4812923,
Bahrain,BHR,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,239.348925,251.1388833,225.7586884,189.6325833,190.330269,191.6102323,183.5235689,189.7679308,172.8324115,186.2738212,210.1609658,180.6418102,181.1240372,164.6038971,155.1781716,152.4643154,164.1154193,148.5820781,128.4891015,141.8316988,135.8090158,127.026112,130.6075232,128.0914868,140.7372332,148.313493,147.1018554,137.7850506,145.882662,117.9637254,120.4723945,126.8065678,122.161663,119.9078378,115.2812696,,
"Bahamas, The",BHS,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,148.7938289,150.1802018,129.075265,133.2584438,129.7511392,125.3373883,124.5844875,121.8950566,124.0617109,121.7229525,117.1260176,,111.0003266,110.1200253,106.1186181,101.4615632,103.3599612,104.4019638,104.4654418,105.856747,91.25683137,88.90555081,86.69857601,91.20146306,82.99738623,80.57822971,81.44829197,87.10558576,93.20118211,100.1146431,100.7048206,100.0240097,87.53072086,89.98707896,100.9620077,105.9150134,99.82079639,104.8339111,93.42863781,
