polis_number,Name,Latitude,Longitude,Hellenicity,Fame,Size,Colonies,Regime,Delian
316,Korone,36.954171,21.927944,most Greek,1,25-100 km sq,0,,not in Delian League
317,Kyparissos,37.248527,21.681159,most Greek,0.87,100-200 km sq,0,,not in Delian League
318,Messene/Ithome,37.146361,21.943018,most Greek,5.25,200-500 km sq,4,evidence of democracy,not in Delian League
319,Mothone,36.81618,21.705878,most Greek,1.12,25-100 km sq,0,,not in Delian League
320,Pharai,37.25,22.25,most Greek,1,0-25 km sq,0,,not in Delian League
321,Thalamai,36.786208,22.325671,most Greek,0.5,0-25 km sq,0,,not in Delian League
322,Thouria,37.108636,22.044664,most Greek,1.37,0-25 km sq,0,,not in Delian League
323,Aigys,37.246287,22.165456,most Greek,0.87,0-25 km sq,0,,not in Delian League
324,Anthana,37.365778,22.781371,most Greek,0.87,0-25 km sq,0,,not in Delian League
325,Aphroditia/Aphrodisias,,,most Greek,0.5,,0,,not in Delian League
326,Belbina,37.27848,22.286919,most Greek,0.75,0-25 km sq,0,,not in Delian League
327,Boia,36.5282375,23.062276,most Greek,0.87,25-100 km sq,0,,not in Delian League
328,Chen,36.75,22.75,most Greek,0.25,,0,,not in Delian League
329,Epidauros,36.732711,23.033451,most Greek,0.75,25-100 km sq,0,,not in Delian League
330,Etis,36.5,23.08333333,most Greek,0.5,,0,,not in Delian League
331,Eua,37.377923,22.656854,most Greek,1.12,,0,,not in Delian League
332,Geronthrai,36.992193,22.706912,most Greek,1.12,25-100 km sq,0,,not in Delian League
333,Gytheion,36.7600725,22.5626005,most Greek,1,25-100 km sq,0,,not in Delian League
334,Kromnos,37.332507,22.093167,most Greek,0.75,0-25 km sq,0,,not in Delian League
335,Kyphanta,36.961993,22.989822,most Greek,0.37,0-25 km sq,0,,not in Delian League
336,Kythera,36.262287,22.978222,most Greek,1.75,200-500 km sq,0,,in Delian League
337,Las,36.725537,22.498245,most Greek,1,0-25 km sq,0,,not in Delian League
338,Oinous,,,most Greek,0.37,,0,,not in Delian League
339,Oios,37.468145,22.141115,most Greek,0.62,0-25 km sq,0,,not in Delian League
340,Oitylos/Beitylos,36.705058,22.3848,most Greek,0.62,0-25 km sq,0,,not in Delian League
341,Pellana,37.2067635,22.331965,most Greek,0.75,0-25 km sq,0,,not in Delian League
342,Prasiai,37.144402,22.890275,most Greek,1,25-100 km sq,0,,not in Delian League
343,Sellasia,37.166485,22.416414,most Greek,0.62,0-25 km sq,0,,not in Delian League
344,Side,36.469167,23.154167,most Greek,0.37,0-25 km sq,0,,not in Delian League
345,Sparta/Lakedaimon,37.0804631,22.42837425,most Greek,14.62,500 km sq or more,7,no evidence of democracy,not in Delian League
346,Thyrea,37.41666667,22.66666667,most Greek,1.12,0-25 km sq,0,,not in Delian League
347,Argos,37.631561,22.719464,most Greek,7.87,500 km sq or more,1,evidence of democracy,not in Delian League
348,Epidauros,37.6334625,23.16015635,most Greek,4.37,200-500 km sq,4,evidence of democracy,not in Delian League
349,Halieis,37.3082921,23.14481395,most Greek,1.87,25-100 km sq,0,,not in Delian League
350,Hermion,37.385218,23.243591,most Greek,2.25,200-500 km sq,0,,not in Delian League
351,Kleonai,37.8114175,22.774295,most Greek,1.37,100-200 km sq,0,,not in Delian League
352,Methana,37.5839485,23.3696045,most Greek,1,25-100 km sq,0,,not in Delian League
353,Mykenai,37.73036675,22.75557475,most Greek,1.12,25-100 km sq,0,,not in Delian League
354,Orneai,37.717853,22.547276,most Greek,1.12,0-25 km sq,0,,not in Delian League
355,Phleious,37.831664,22.641069,most Greek,3.5,100-200 km sq,0,evidence of democracy,not in Delian League
356,Tiryns,37.5980815,22.799768,most Greek,1.37,25-100 km sq,0,,not in Delian League
357,Troizen,37.496395,23.362444,most Greek,3.5,200-500 km sq,2,,not in Delian League
358,Aigina,37.7500745,23.4285005,most Greek,4.25,25-100 km sq,2,no evidence of democracy,in Delian League
359,Belbina,37.476608,23.92397,most Greek,0.5,0-25 km sq,0,,in Delian League
360,Kalaureia,37.516667,23.483333,most Greek,1.25,25-100 km sq,0,,not in Delian League
361,Athenai,37.97582976,23.7261584,most Greek,20.87,500 km sq or more,39,evidence of democracy,not in Delian League
362,Eleusis,38.041101,23.537401,most Greek,1.37,0-25 km sq,0,no evidence of democracy,not in Delian League
363,Salamis,37.948092,23.53080433,most Greek,2.75,25-100 km sq,0,,not in Delian League
364,Athenai Diades,38.842285,22.982897,most Greek,1.25,0-25 km sq,0,,in Delian League
365,Chalkis,38.457139,23.621937,most Greek,4.5,500 km sq or more,7,evidence of democracy,in Delian League
366,Diakrioi en Euboia,,,most Greek,0.5,,0,,in Delian League
367,Diakrioi apo Chalkideon,,,most Greek,0.37,,0,,in Delian League
368,Dion,38.849584,22.850558,most Greek,1.25,0-25 km sq,0,,in Delian League
369,Dystos,38.355289,24.145303,most Greek,1.37,0-25 km sq,0,,not in Delian League
370,Eretria,38.39742467,23.79223733,most Greek,8.25,500 km sq or more,6,evidence of democracy,in Delian League
371,Grynchai,38.401105,24.15984,most Greek,0.5,0-25 km sq,0,,in Delian League
372,Histiaia/Oreos,38.946604,23.090527,most Greek,4.12,200-500 km sq,0,evidence of democracy,in Delian League
373,Karystos,38.016541,24.420381,most Greek,3.37,200-500 km sq,0,evidence of democracy,in Delian League
374,Orobiai,38.82251,23.214315,most Greek,0.75,0-25 km sq,0,,not in Delian League
375,Peraia,38.4012,23.413552,most Greek,0.5,,0,,not in Delian League
376,Posideion,39,23.33333333,most Greek,0.37,0-25 km sq,0,,in Delian League
377,Styra,38.1521563,24.2476977,most Greek,1.37,0-25 km sq,0,,in Delian League
378,Alope,38.80837,22.8804165,most Greek,0.5,0-25 km sq,0,,not in Delian League
379,Alponos,38.83333333,22.58333333,most Greek,0.87,0-25 km sq,0,,not in Delian League
380,Halai,38.653765,23.193751,most Greek,1.62,25-100 km sq,0,,not in Delian League
381,Knemides,38.784137,22.832513,most Greek,0.37,0-25 km sq,0,,not in Delian League
382,Kynos,38.718371,23.070173,most Greek,0.75,0-25 km sq,0,,not in Delian League
383,Larymna,38.567348,23.281349,most Greek,1.25,0-25 km sq,0,,not in Delian League
384,Naryka,38.717051,22.728224,most Greek,0.75,0-25 km sq,0,,not in Delian League
385,Nikaia,38.811966,22.617322,most Greek,0.62,0-25 km sq,0,,not in Delian League
386,Opous,38.6306405,23.047878,most Greek,3,25-100 km sq,0,no evidence of democracy,not in Delian League
387,Skarpheia,38.810499,22.67653057,most Greek,0.62,,0,,not in Delian League
388,Thronion,38.775841,22.725727,most Greek,1.5,0-25 km sq,0,,not in Delian League
389,Akyphas/Pindos,38.685487,22.379868,most Greek,1,0-25 km sq,0,,not in Delian League
390,Boion,38.658144,22.4474125,most Greek,0.25,0-25 km sq,0,,not in Delian League
391,Erineos,38.694365,22.415737,most Greek,0.25,0-25 km sq,0,,not in Delian League
392,Kytinion,38.715386,22.508769,most Greek,0.5,0-25 km sq,0,,not in Delian League
393,Amphanai,39.294909,22.954643,most Greek,0.87,,0,,not in Delian League
394,Argoussa,39.654629,22.350561,most Greek,0.62,25-100 km sq,0,,not in Delian League
395,Atrax,39.571253,22.1995565,most Greek,1.5,25-100 km sq,0,,not in Delian League
396,Gomphoi,39.436045,21.676806,most Greek,1.75,25-100 km sq,0,,not in Delian League
397,Gyrton/Gyrtone,39.798151,22.569853,most Greek,0.87,25-100 km sq,0,,not in Delian League
398,Kierion,39.361088,22.075455,most Greek,1,25-100 km sq,0,,not in Delian League
399,Kondaia,39.798543,22.396606,most Greek,0.62,,0,,not in Delian League
400,Krannon,39.4991145,22.304133,most Greek,1.75,100-200 km sq,0,no evidence of democracy,not in Delian League
401,Larisa,38.955227,22.8448235,most Greek,4.25,100-200 km sq,0,no evidence of democracy,not in Delian League
402,Methylion,38.4012,23.413552,most Greek,0.62,,0,,not in Delian League
403,Metropolis,39.33861325,21.83866205,most Greek,1.5,25-100 km sq,0,,not in Delian League
404,Mopsion,39.78742,22.420555,most Greek,0.5,25-100 km sq,0,,not in Delian League
405,Orthos,39.207999,22.045891,most Greek,0.5,,0,,not in Delian League
406,Oxynion,,,most Greek,0.37,,0,,not in Delian League
407,Pagasai,39.310841,22.944398,most Greek,1.37,25-100 km sq,0,no evidence of democracy,not in Delian League
408,Peirasia,39.498523,22.152114,most Greek,0.62,0-25 km sq,0,,not in Delian League
409,Pelinnaion,39.57336578,21.92645127,most Greek,1.62,25-100 km sq,0,,not in Delian League
410,Phakion,38.75,21.25,most Greek,0.37,,0,,not in Delian League
411,Phaloria,39.8466628,21.522324,most Greek,1,,0,,not in Delian League
412,Pharkadon,39.5679935,22.00854075,most Greek,1.37,25-100 km sq,0,,not in Delian League
413,Pharsalos,39.30915475,22.3563245,most Greek,3.62,100-200 km sq,0,no evidence of democracy,not in Delian League
414,Pherai,39.3841465,22.7480955,most Greek,3.87,25-100 km sq,0,no evidence of democracy,not in Delian League
415,Skotoussa,39.37552,22.574579,most Greek,1.62,25-100 km sq,0,,not in Delian League
416,Thetonion,39.293198,22.206056,most Greek,0.37,25-100 km sq,0,,not in Delian League
417,Trikka,39.568904,21.782998,most Greek,1,25-100 km sq,0,,not in Delian League
418,Angeia,39.107716,22.06456,most Greek,0.5,25-100 km sq,0,,not in Delian League
419,Ktimene,39.064237,21.978511,most Greek,0.5,25-100 km sq,0,,not in Delian League
420,Hypata,38.871397,22.25209,most Greek,0.87,,0,,not in Delian League
421,Kapheleis,,,most Greek,0.12,,0,,not in Delian League
422,Korophaioi,,,most Greek,0.12,,0,,not in Delian League
423,Phyrrhagioi,,,most Greek,0.37,,0,,not in Delian League
424,Talana,,,most Greek,0.25,,0,,not in Delian League
425,Chen,38.4012,23.413552,most Greek,0.5,,0,,not in Delian League
426,Parasopioi,,,most Greek,0.25,,0,,not in Delian League
427,Anthele,38.800123,22.510613,most Greek,0.25,0-25 km sq,0,,not in Delian League
428,Antikyre,38.852784,22.430528,most Greek,0.25,25-100 km sq,0,,not in Delian League
429,Echinos,38.893412,22.723917,most Greek,0.62,,0,,not in Delian League
430,Herakleia,38.792037,22.447577,most Greek,3.75,25-100 km sq,0,,not in Delian League
431,Lamia,38.902996,22.442593,most Greek,2.12,25-100 km sq,0,,not in Delian League
432,Trachis,38.792037,22.447577,most Greek,0.87,0-25 km sq,0,,not in Delian League
433,Antron,38.95098,22.967482,most Greek,0.5,,0,,not in Delian League
434,Ekkarra,39.08032,22.21147,most Greek,0.5,25-100 km sq,0,,not in Delian League
435,Halos,39.14854852,22.82234597,most Greek,1,25-100 km sq,0,,not in Delian League
436,Kypaira,39.031506,22.082503,most Greek,0.37,25-100 km sq,0,,not in Delian League
437,Larisa,38.955227,22.8448235,most Greek,1,,0,,not in Delian League
438,Melitaia,39.045599,22.451554,most Greek,0.87,25-100 km sq,0,,not in Delian League
439,Peuma,39.20101243,22.53210477,most Greek,0.62,0-25 km sq,0,,not in Delian League
440,Phylake,39.289349,22.762367,most Greek,0.12,,0,,not in Delian League
441,Proerna,39.241243,22.297255,most Greek,0.62,25-100 km sq,0,,not in Delian League
442,Pyrasos,39.2763225,22.8296175,most Greek,0.5,25-100 km sq,0,,not in Delian League
443,Thaumakoi,39.126554,22.321996,most Greek,0.75,25-100 km sq,0,,not in Delian League
444,Thebai,38.319156,23.317577,most Greek,1.62,200-500 km sq,0,,not in Delian League
445,Amyros,39.660329,22.693428,most Greek,0.62,,0,,not in Delian League
446,Eureaioi,,,most Greek,0.37,,0,,not in Delian League
447,Eurymenai,39.8427875,22.7816365,most Greek,0.37,,0,,not in Delian League
448,Homolion,39.892051,22.6540015,most Greek,0.75,25-100 km sq,0,,not in Delian League
449,Iolkos,39.366305,22.96886,most Greek,0.5,0-25 km sq,0,,not in Delian League
450,Kasthanaie,39.571201,22.95459,most Greek,0.37,25-100 km sq,0,,not in Delian League
451,Kikynethos,39.1667,23.0833,most Greek,0.12,0-25 km sq,0,,not in Delian League
452,Korakai,,,most Greek,0.75,,0,,not in Delian League
453,Meliboia,39.748889,22.799444,most Greek,0.62,25-100 km sq,0,,not in Delian League
454,Methone,39.327998,23.069231,most Greek,0.75,0-25 km sq,0,,not in Delian League
455,Olizon,39.128079,23.21081,most Greek,0.37,25-100 km sq,0,,not in Delian League
456,Oxoniaioi,,,most Greek,0.12,,0,,not in Delian League
457,Rhizous,39.8019955,22.84759,most Greek,0.25,25-100 km sq,0,,not in Delian League
458,Spalauthra,39.183477,23.225085,most Greek,0.5,25-100 km sq,0,,not in Delian League
459,Azoros,39.988295,22.0888255,most Greek,0.25,25-100 km sq,0,,not in Delian League
460,Chyretiai,39.800136,22.152018,most Greek,0.5,25-100 km sq,0,,not in Delian League
461,Doliche,40.059406,22.169466,most Greek,1,25-100 km sq,0,,not in Delian League
462,Ereikinion,39.702373,21.994174,most Greek,0.37,25-100 km sq,0,,not in Delian League
463,Gonnos,39.858934,22.498138,most Greek,1.12,100-200 km sq,0,,not in Delian League
464,Malloia,39.876194,22.091553,most Greek,0.37,25-100 km sq,0,,not in Delian League
465,Mondaia,39.9596,21.938448,most Greek,0.5,25-100 km sq,0,,not in Delian League
466,Mylai,39.753837,22.098733,most Greek,0.62,25-100 km sq,0,,not in Delian League
467,Oloosson,39.89278,22.215715,most Greek,1.12,25-100 km sq,0,,not in Delian League
468,Phalanna,39.708507,22.193106,most Greek,1.5,25-100 km sq,0,,not in Delian League
469,Pythoion,40.0833,22.15,most Greek,1.12,25-100 km sq,0,,not in Delian League
470,Argethia,39.9167,22.05,most Greek,0.37,,0,,not in Delian League
471,Aigiale,36.90637,25.998408,most Greek,0.5,25-100 km sq,0,,not in Delian League
472,Arkesine,36.7993565,25.8117355,most Greek,0.87,25-100 km sq,0,,not in Delian League
473,Minoa,36.8241875,25.8640625,most Greek,0.37,25-100 km sq,0,,not in Delian League
474,Anaphe,36.350459,25.76846,most Greek,1.12,25-100 km sq,0,,in Delian League
475,Andros,37.8188329,24.8323379,most Greek,2.5,200-500 km sq,4,evidence of democracy,in Delian League
476,Astypalaia,36.547366,26.35142,most Greek,1.62,25-100 km sq,1,,in Delian League
477,Chalke,36.228735,27.574826,most Greek,1.25,25-100 km sq,0,,in Delian League
478,Delos,37.400439,25.267471,most Greek,3.5,0-25 km sq,2,,in Delian League
479,Helene,37.687222,24.116944,most Greek,0.12,0-25 km sq,0,,not in Delian League
480,Oine,37.6305806,26.0732143,most Greek,1.12,100-200 km sq,0,,in Delian League
481,Therma,37.6305806,26.0732143,most Greek,0.62,100-200 km sq,0,,in Delian League
482,Ikos,39.163501,23.900777,most Greek,0.62,25-100 km sq,0,,in Delian League
483,Imbros,40.233058,25.903047,most Greek,1.87,200-500 km sq,0,,in Delian League
484,Ios,36.7231329,25.28259345,most Greek,1.5,100-200 km sq,0,,in Delian League
485,Kalymna,36.9783009,27.0081067,most Greek,2.62,25-100 km sq,0,,in Delian League
486,Arkesseia,35.5,27.08333333,most Greek,0.5,0-25 km sq,0,,in Delian League
487,Brykous,35.83333333,27.16666667,most Greek,0.75,0-25 km sq,0,,in Delian League
488,Eteokarpathioi,35.58333333,27.16666667,most Greek,0.75,,0,,in Delian League
489,Karpathos,35.5833,27.1333,most Greek,1.25,,0,,in Delian League
490,Kasos,35.421314,26.910656,most Greek,0.5,25-100 km sq,0,,in Delian League
491,Ioulis,37.640469,24.340442,most Greek,2.12,25-100 km sq,0,evidence of democracy,not in Delian League
492,Karthaia,37.560259,24.330211,most Greek,1.37,25-100 km sq,0,,not in Delian League
493,Koresia,37.658699,24.3111875,most Greek,1.62,0-25 km sq,0,,in Delian League
494,Poiessa,37.599492,24.277992,most Greek,0.87,25-100 km sq,0,,not in Delian League
495,Keria,36.8795325,25.609403,most Greek,0.25,0-25 km sq,0,,in Delian League
496,Kimolos,36.793183,24.57346,most Greek,0.75,25-100 km sq,0,,in Delian League
497,Kos,36.8958903,27.2904682,most Greek,4.87,200-500 km sq,0,evidence of democracy,in Delian League
498,Astypalaia/2,36.74699267,26.95877067,most Greek,0.62,100-200 km sq,0,,not in Delian League
499,Kos Meropis,36.89326867,27.28742433,most Greek,0.75,100-200 km sq,0,,not in Delian League
500,Halasarna,36.7814565,27.1378155,most Greek,0.37,0-25 km sq,0,,not in Delian League
501,Kythnos,37.412293,24.429784,most Greek,1.25,25-100 km sq,0,,in Delian League
502,Myrina,39.878652,25.06186,most Greek,1.25,100-200 km sq,0,,in Delian League
503,Hephaistia,39.9654755,25.322257,most Greek,1,100-200 km sq,0,,in Delian League
504,Leros,37.158037,26.854663,most Greek,1,25-100 km sq,0,,not in Delian League
505,Melos,36.743864,24.423276,most Greek,2.87,100-200 km sq,0,,in Delian League
506,Mykonos,37.445959,25.328619,most Greek,0.87,25-100 km sq,0,,in Delian League
507,Naxos,37.103871,25.377595,most Greek,5.87,200-500 km sq,0,,in Delian League
508,Nisyros,36.587875,27.172056,most Greek,1.37,25-100 km sq,0,,in Delian League
509,Paros,37.08579,25.150728,most Greek,7.25,100-200 km sq,3,evidence of democracy,in Delian League
510,Panormos,39.08333333,23.66666667,most Greek,0.12,0-25 km sq,0,,not in Delian League
511,Peparethos,39.119096,23.719616,most Greek,0.25,25-100 km sq,0,,in Delian League
512,Seleinous,39.16666667,23.66666667,most Greek,0.25,0-25 km sq,0,,not in Delian League
513,Pholegandros,36.66666667,24.91666667,most Greek,0.62,25-100 km sq,0,,in Delian League
514,Rheneia,37.41206,25.213287,most Greek,0.87,0-25 km sq,0,,in Delian League
515,Samothrake,40.50370085,25.53004955,most Greek,2.5,100-200 km sq,4,,in Delian League
516,Saros,35.91666667,27.25,most Greek,0.75,0-25 km sq,0,,in Delian League
517,Seriphos,37.16666667,24.5,most Greek,1,25-100 km sq,0,,in Delian League
518,Sikinos,36.683056,25.11667,most Greek,0.75,25-100 km sq,0,,in Delian League
519,Siphnos,36.9847,24.6681,most Greek,2.12,25-100 km sq,0,evidence of democracy,in Delian League
520,Skiathos,39.164021,23.488506,most Greek,1.25,25-100 km sq,0,,in Delian League
521,Skyros,38.902984,24.565356,most Greek,2.25,200-500 km sq,0,,in Delian League
522,Syme,36.61839,27.843425,most Greek,0.75,25-100 km sq,0,,in Delian League
523,Syros,37.43333333,24.93333333,most Greek,1.37,100-200 km sq,0,,in Delian League
524,Telos,36.463938,27.338729,most Greek,1.25,25-100 km sq,0,,in Delian League
525,Tenos,37.607,25.114,most Greek,3.75,100-200 km sq,0,evidence of democracy,in Delian League
526,Thasos,40.779818,24.7106185,most Greek,8.75,200-500 km sq,10,evidence of democracy,in Delian League
527,Thera,36.363374,25.477816,most Greek,3.87,25-100 km sq,1,evidence of democracy,in Delian League
528,Aiane,40.165157,21.820987,most Greek,0.75,,0,no evidence of democracy,not in Delian League
529,Aigeai,40.48423087,22.3195276,most Greek,2,25-100 km sq,0,,not in Delian League
530,Alebaia,,,most Greek,0.25,,0,,not in Delian League
531,Allante,40.734818,22.598961,most Greek,0.62,,0,,not in Delian League
532,Aloros,40.588605,22.597349,most Greek,0.25,,0,,not in Delian League
533,Beroia,40.52212667,22.20149267,most Greek,2.5,200-500 km sq,0,no evidence of democracy,not in Delian League
534,Dion,40.17485,22.488682,most Greek,1.62,200-500 km sq,0,,not in Delian League
535,Edessa,40.799718,22.053972,most Greek,1.12,200-500 km sq,0,,not in Delian League
536,Europos,40.899846,22.556736,most Greek,0.62,,0,,not in Delian League
537,Herakleion,40,22.66666667,most Greek,0.5,100-200 km sq,0,,in Delian League
538,Ichnai,40.764014,22.591256,most Greek,1,,0,,not in Delian League
539,Kyrrhos,40.805298,22.2912025,most Greek,0.87,200-500 km sq,0,,not in Delian League
540,Leibethra,40.037748,22.528396,most Greek,0.87,100-200 km sq,0,,not in Delian League
541,Methone,40.446376,22.587828,most Greek,1.12,100-200 km sq,0,,in Delian League
542,Mieza,40.6380805,22.1170755,most Greek,0.87,,0,,not in Delian League
543,Pella,40.76675213,22.50673528,most Greek,2.12,200-500 km sq,0,,not in Delian League
544,Pydna,40.394976,22.560095,most Greek,1.5,100-200 km sq,0,,not in Delian League
545,Apollonia,40.623703,23.469685,most Greek,0.75,200-500 km sq,0,,not in Delian League
546,Arethousa,40.62204,23.621241,most Greek,1,25-100 km sq,0,,not in Delian League
547,Bormiskos,40.676875,23.678073,most Greek,0.37,25-100 km sq,0,,in Delian League
548,Chalestra,40.66666667,22.75,,0.62,,0,,not in Delian League
549,Herakleia,40.75,22.66666667,most Greek,0.37,,0,,not in Delian League
550,Lete,40.74493,22.978076,most barbarian,0.75,,0,,not in Delian League
551,Sindos,40.670226,22.808289,most barbarian,0.37,,0,,not in Delian League
552,Therme,40.58155,22.94402,most barbarian,1.12,200-500 km sq,0,,not in Delian League
553,Amphipolis,40.8219755,23.847005,most Greek,2.5,500 km sq or more,0,evidence of democracy,not in Delian League
554,Argilos,40.7819725,23.8123785,most Greek,1.75,25-100 km sq,0,,in Delian League
555,Traїlos,40.844865,23.721626,most barbarian,0.75,,0,,in Delian League
556,Aige,39.978627,23.666064,most Greek,0.37,25-100 km sq,0,,in Delian League
557,Aineia,40.439481,22.879124,most Greek,1.25,0-25 km sq,0,,in Delian League
558,Aioleion,40.302463,23.181617,most Greek,0.75,0-25 km sq,0,,in Delian League
559,Akanthos,40.39975,23.880112,most Greek,2,100-200 km sq,0,evidence of democracy,in Delian League
560,Akrothooi,40.183833,24.34933,most barbarian,0.5,25-100 km sq,0,,in Delian League
561,Alapta,,,most Greek,0.12,,0,,not in Delian League
562,Anthemous,40.417722,23.284334,most Greek,0.62,200-500 km sq,0,,not in Delian League
563,Aphytis,40.099366,23.436606,most Greek,1.87,25-100 km sq,0,evidence of democracy,in Delian League
564,Assera,40.369294,23.830518,most Greek,0.87,25-100 km sq,0,,in Delian League
565,Charadrous,,,most barbarian,0.12,,0,,not in Delian League
566,Chedrolioi,40.046745,22.35171,most Greek,0.37,,0,,in Delian League
567,Chytropolis,,,most Greek,0.12,,0,,not in Delian League
568,Dikaia,40.460491,22.947121,most Greek,1,,0,evidence of democracy,in Delian League
569,Dion,40.355943,24.163782,most barbarian,0.87,0-25 km sq,0,,in Delian League
570,Eion,40.7893235,23.872848,most Greek,0.25,,0,,not in Delian League
571,Galepsos,40.200006,23.688564,most Greek,1.5,25-100 km sq,0,,in Delian League
572,Gigonos,40.326285,23.022765,most Greek,0.25,0-25 km sq,0,,in Delian League
573,Haisa,40.309275,23.060368,most Greek,0.5,0-25 km sq,0,,in Delian League
574,Istasos,,,,0.12,,0,,not in Delian League
575,Kalindoia,40.563778,23.357944,most Greek,0.62,,0,,not in Delian League
576,Kamakai,,,,0.37,,0,,in Delian League
577,Kampsa,,,most Greek,0.5,,0,,not in Delian League
578,Kissos,,,most Greek,0.37,,0,,not in Delian League
579,Kithas,40.396714,23.055907,,0.25,,0,,in Delian League
580,Kleonai,40.214176,24.233651,most barbarian,1.12,0-25 km sq,0,,in Delian League
581,Kombreia,,,,0.37,,0,,not in Delian League
582,Lipaxos,,,,0.12,,0,,not in Delian League
583,Mekyberna,40.278319,23.396101,most Greek,1.37,0-25 km sq,0,,in Delian League
584,Mende,39.971454,23.39806,most Greek,2.5,25-100 km sq,2,evidence of democracy,in Delian League
585,Milkoros,,,,0.5,,0,,in Delian League
586,Neapolis,40.934324,24.414039,most Greek,0.75,25-100 km sq,0,,in Delian League
587,Olophyxos,40.330422,24.190639,most barbarian,0.62,0-25 km sq,0,,in Delian League
588,Olynthos,40.29464475,23.3524935,most Greek,3.62,500 km sq or more,0,,in Delian League
589,Osbaioi,,,,0.37,,0,,not in Delian League
590,Othoros,,,,0.37,,0,,in Delian League
591,Pharbelos,,,,0.5,,0,,in Delian League
592,Phegontioi,,,,0.37,,0,,in Delian League
593,Piloros,40.342219,23.724709,most Greek,0.25,,0,,in Delian League
594,Pistasos,,,,0.12,,0,,in Delian League
595,Pleume,40.295137,23.20344,,0.25,0-25 km sq,0,,in Delian League
596,Polichnitai,40.369151,23.664835,most Greek,0.37,,0,,in Delian League
597,Posideion,,,,0.25,,0,,in Delian League
598,Poteidaia,40.193696,23.327812,most Greek,2.25,25-100 km sq,0,,in Delian League
599,Prassilos,,,,0.12,,0,,in Delian League
600,Sane,40.363569,23.934807,most Greek,1,25-100 km sq,0,,in Delian League
601,Sane/2,40.098381,23.306117,most Greek,0.5,25-100 km sq,0,,not in Delian League
602,Sarte,40.087542,23.978698,most Greek,0.37,,0,,in Delian League
603,Serme,40.58155,22.94402,,0.37,,0,,in Delian League
604,Sermylia,40.298222,23.539631,most Greek,1.12,0-25 km sq,0,,in Delian League
605,Singos,40.24917,23.721477,most Greek,0.62,25-100 km sq,0,,in Delian League
606,Sinos,40.291278,23.223955,,0.25,0-25 km sq,0,,in Delian League
607,Skabala,40.332591,23.590555,most Greek,0.37,25-100 km sq,0,,in Delian League
608,Skapsaioi,,,most Greek,0.25,,0,,in Delian League
609,Skione,39.939063,23.574785,most Greek,1.75,25-100 km sq,0,,in Delian League
610,Skithai,40.396714,23.055907,most Greek,0.25,,0,,not in Delian League
611,Smila,40.046745,22.35171,,0.25,,0,,in Delian League
612,Spartolos,40.316347,23.159843,most Greek,0.87,,0,,in Delian League
613,Stagiros,40.5926245,23.7939045,most Greek,2.12,200-500 km sq,0,,in Delian League
614,Stolos,40.369151,23.664835,most Greek,0.87,25-100 km sq,0,,in Delian League
615,Strepsa,40.483197,23.138509,most Greek,1.25,,0,,in Delian League
616,Therambos,39.91666667,23.66666667,most Greek,0.87,25-100 km sq,0,,in Delian League
617,Thestoros,,,,0.37,,0,,in Delian League
618,Thyssos,40.288017,24.158674,most barbarian,0.5,0-25 km sq,0,,in Delian League
619,Tinde,40.395222,23.026394,,0.25,,0,,in Delian League
620,Torone,39.9766652,23.90445065,most Greek,2.5,100-200 km sq,0,evidence of democracy,in Delian League
621,Tripoaia,40.563778,23.357944,,0.25,,0,,in Delian League
622,Zereia,40.25,23.25,,0.12,,0,,in Delian League
623,Aison,,,,0.62,,0,,in Delian League
624,Brea,40.288041,23.129408,most Greek,0.25,,0,,not in Delian League
625,Kossaia,,,,0.25,,0,,in Delian League
626,Okolon,,,,0.12,,0,,not in Delian League
627,Apollonia,40.744165,24.137678,most Greek,0.37,,0,,not in Delian League
628,Berga,40.910982,23.508247,most barbarian,1.62,100-200 km sq,0,,in Delian League
629,Datos,40.91666667,24.33333333,most barbarian,1.5,100-200 km sq,0,,not in Delian League
630,Eion,40.7893235,23.872848,most Greek,1.62,100-200 km sq,0,,not in Delian League
631,Galepsos,40.740429,23.986017,most Greek,1.5,100-200 km sq,0,,in Delian League
632,Krenides,41.0132446,24.28434863,most Greek,0.62,,0,,not in Delian League
633,Myrkinos,40.90722,23.819454,most barbarian,0.75,100-200 km sq,0,no evidence of democracy,not in Delian League
634,Neapolis,40.934324,24.414039,most Greek,2.87,25-100 km sq,0,evidence of democracy,in Delian League
635,Oisyme,40.828906,24.300929,most Greek,1.87,100-200 km sq,0,,not in Delian League
636,Phagres,40.760666,23.940471,most Greek,1,100-200 km sq,0,,not in Delian League
637,Philippoi,41.02518,24.334511,most Greek,2.25,25-100 km sq,0,no evidence of democracy,not in Delian League
638,Pistyros,40.968496,24.603854,most Greek,0.75,100-200 km sq,1,,not in Delian League
639,Sirra,41.087975,23.542453,most barbarian,0.62,100-200 km sq,0,,not in Delian League
640,Abdera,40.93950935,24.9795992,most Greek,6.25,500 km sq or more,1,evidence of democracy,in Delian League
641,Ainos,40.7248985,26.085729,most Greek,2.5,200-500 km sq,0,,in Delian League
642,Bergepolis,41.057585,25.013705,,0.37,,0,,not in Delian League
643,Dikaia,40.99287,25.165653,most Greek,1.37,25-100 km sq,0,,in Delian League
644,Drys,40.856489,25.675192,,0.75,25-100 km sq,0,,in Delian League
